Job Title,Job Description,Job Skills,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,"As a Software Development Intern, you will play a crucial role in assisting the design, development, and testing of software applications. Collaborating closely with team members, you'll help troubleshoot and resolve software issues while writing clean, maintainable, and efficient code. You'll actively participate in code reviews and contribute to team discussions, as well as document development processes and solutions. The role provides support in various software development tasks, offering an opportunity to gain hands-on experience in a dynamic work environment.","Software Engineering, Java, Python, C++, JavaScript, Agile, Scrum, databases, SQL, problem-solving, attention to detail, communication, teamwork.",,,,,,,,,,,,,,,,,,,,,,,
Fullstack Web Developer,"As an Engineering Manager - Fullstack, you will spearhead the development and strategic vision of a cutting-edge SaaS platform. You will lead a dynamic team that drives innovation and creates a significant impact across various industries such as Retail, Supply Chain, and Food & Beverage. Your primary responsibility will be to manage teams dedicated to developing applications, ensuring they remain motivated while producing high-quality code through carefully crafted engineering processes. You will find solutions to complex problems spanning multiple apps and microservices, drive the team towards continuous delivery through automated testing and delivery pipelines, and manage performance to help team members reach their full potential. Collaboration with product managers and engineering managers will be essential in managing the product roadmap.","Full stack engineering, NodeJS, Angular, MySQL, Restful APIs, AWS, engineering management, SaaS-based B2B, application development lifecycle, observability, product analytics, communication, coaching, mentoring, building engineering teams, emotional intelligence, prioritization, innovative mindset.",,,,,,,,,,,,,,,,,,,,,,,
Product Manager,"As a Product Manager, you will be responsible for driving customer acquisition strategies and initiatives for financial technology products. Your role will involve identifying opportunities to expand the customer base and optimizing the user journey from the acquisition stage. Working closely with cross-functional teams, you will lead the development and execution of innovative acquisition features and campaigns aimed at attracting new customers and maximizing conversion rates. You will develop and execute a comprehensive customer acquisition strategy aligned with growth objectives, conduct in-depth market research and analyze customer behavior, and collaborate with stakeholders to define and prioritize acquisition-related features in the product roadmap. Additionally, you will work in an Agile environment to maintain a well-defined product backlog, continuously analyze and optimize the acquisition funnel, and plan targeted marketing campaigns. Establishing key performance indicators (KPIs) to monitor acquisition efforts and ensuring compliance with relevant regulations will also be essential to your role.","Product ownership, customer acquisition strategies, Fintech, digital marketing, Agile, Scrum, data analysis, project management, communication, collaboration, results-oriented, compliance knowledge.",,,,,,,,,,,,,,,,,,,,,,,
IT Manager,"The Senior Manager/Manager IT will lead the planning, implementation, and management of IT infrastructure, cloud environments, and enterprise data networks. This role involves overseeing the design and deployment of IT solutions, managing daily operations, monitoring system performance, and troubleshooting issues to ensure optimal functionality. The manager will also handle capacity planning for private cloud environments, manage capital and operational expenditures, and ensure compliance with licensing requirements. Additionally, responsibilities include providing technical support, conducting assessments for network enhancements, and developing a comprehensive patch management strategy.","IT infrastructure management, cloud solutions, enterprise data networks, capacity planning, operational expenditures management, system performance monitoring, troubleshooting, technical support, licensing compliance, resource allocation, patch management, network assessment, security enhancement.",,,,,,,,,,,,,,,,,,,,,,,
Frontend Developer,"The Front End Developer role involves enhancing the performance of Shopify stores by building responsive, high-performance web applications that improve user experience and drive conversions. The developer will implement user-friendly interfaces for promotional offers using HTML, CSS, and JavaScript while collaborating with the marketing team to translate designs into functional web elements. Key responsibilities include enhancing the presentation and performance of promotional features, performing thorough testing and debugging, and maintaining existing codebases related to promotional offers. Ideal candidates will have a strong proficiency in front-end development with Shopify, experience in responsive design, excellent problem-solving abilities, and strong communication skills.","Shopify, front end development, HTML, CSS, JavaScript, responsive design principles, problem-solving, attention to detail, strong communication skills, collaboration.",,,,,,,,,,,,,,,,,,,,,,,
Frontend Developer,"The Frontend Engineer is tasked with transforming design concepts and product vision into functional products that enhance user interaction. This role involves leveraging agile engineering practices and modern development technologies to create user-friendly interfaces while staying updated on industry trends and emerging technologies. The engineer will develop the core logic of the front-end systems, integrate with various data sources, and ensure the application provides an excellent user experience. Strong attention to clean interfaces and user-centric design is essential, as well as the ability to communicate effectively with team members to suggest improvements and trade-offs when necessary.","React Native, JavaScript, HTML, CSS, LESS, SCSS, ES6+, responsive design, Nest.js, GraphQL, AWS, mobile development, distributed architecture, RESTful APIs, unit testing, integration testing, automation testing.",,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,"The Junior Frontend Engineer will play a key role in developing and maintaining the user interface of a blockchain-based platform for peer-to-peer challenges. This position involves collaborating closely with senior developers and UI/UX designers to build responsive, mobile-first features using React and TypeScript. The engineer will optimize web pages for performance and scalability while troubleshooting UI-related issues to enhance user interactions. Participation in code reviews, writing unit and integration tests, and integrating API services will also be crucial aspects of the role. A strong willingness to learn and adapt to new technologies will be essential for success in this dynamic environment.","React, TypeScript, JavaScript, HTML, CSS, Git, VSCode, RESTful APIs, problem-solving, attention to detail, communication skills, unit testing, integration testing, Next.js, Jest, Cypress, Sketch, Figma, React Hooks.",,,,,,,,,,,,,,,,,,,,,,,
Frontend Developer,"The Entry-Level Polymer.js Developer will focus on contributing to the development and maintenance of web applications using the Polymer library. This role involves collaborating with UX/UI designers to create reusable web components and ensuring applications are optimized for performance and scalability. The developer will write clean, maintainable code while learning best practices from senior team members. Additional responsibilities include ensuring cross-browser compatibility, integrating RESTful APIs, and assisting with maintenance tasks such as bug fixes and updates. This position offers a valuable opportunity for individuals looking to enhance their web development skills within a supportive team environment.","Polymer.js, JavaScript, HTML5, CSS3, Node.js, RESTful APIs, React, Angular, Vue.js, problem-solving, attention to detail, communication skills.",,,,,,,,,,,,,,,,,,,,,,,
Technical Content Writer,"The Technical Content Writer will be responsible for drafting technical reports and creating content focused on information security awareness. This role involves maintaining various documentation types, such as procedures, guidelines, and requests for proposals (RFPs). The writer will also create and deliver professional presentations to raise awareness about information security. Candidates should have a solid background in technical content creation and report writing, along with good documentation and presentation skills. A basic understanding of technology and security is essential, and preferred candidates will hold relevant professional certifications.","Technical content creation, report writing, documentation drafting, presentation creation, information security awareness, CISSP, CISM, CRISA, technology understanding.",,,,,,,,,,,,,,,,,,,,,,,
Bank Manager,"The Assistant Manager for Bank Reconciliation will be responsible for ensuring daily reconciliations for various accounts, including correspondent banks, internal accounts, and corporate clients. The role involves developing and implementing automated reconciliation processes using Oracle EBS, utilizing SQL for query optimization and data analysis, and preparing daily reconciliation reports for management. The candidate will also identify opportunities for process improvement, provide guidance to operations staff, collaborate with internal teams, and monitor banking activities to detect irregularities.","Oracle EBS, SQL, PL SQL, banking operations knowledge, reconciliation principles, analytical skills, problem-solving skills, communication skills, interpersonal skills, attention to detail, reconciliation digitalization, automation tools.",,,,,,,,,,,,,,,,,,,,,,,
