Job Title,DESCRIPTION ,Skills
Software Quality Assurance Engineer ,"The role involves ensuring software quality through manual and automated testing, using tools such as Selenium, Cypress, and JUnit. It requires developing scripts in Python, Java, or JavaScript and collaborating throughout the software development lifecycle. Experience with version control systems, API testing tools, and performance testing frameworks is essential.","Concepts of QC, QA methodologies, Testing Tools, Test types, Test Documents, Mobile Apps, API testing, Selenium, Cypress, TestNG, JUnit, Python, Java, JavaScript, Git, JMeter, LoadRunner, Postman, SoapUI"
Software Quality Assurance Analyst,"This role emphasizes rigorous software testing, including developing and executing test plans and scripts to ensure product quality. Collaboration with developers to meet quality standards and documenting findings for improvements are key responsibilities. The position also requires expertise in Agile methodologies, performance analysis, user interface enhancements, and business logic comprehension.","Agile methodologies, Performance Analysis, User Interface Improvement, Business Logic Understanding,Quality Assurance,Quality Assurance Tools"
Junior Software Quality Assurance Engineer,"This remote role involves ensuring software quality through manual and automated testing while maintaining detailed test cases and scenarios. Collaboration with development and design teams is crucial to meet quality expectations and resolve bugs effectively. Preferred skills include using tools like Selenium and Appium, knowledge of programming languages such as Java and Python, and experience with performance testing and version control systems.","Manual Testing, Selenium, Appium, JUnit, Java, Python, JavaScript, Git, Performance Testing"
Senior Software Quality Asssurance Engineer,"This senior remote role involves ensuring the quality of international eCommerce products through manual and automated testing, focusing on system testing for RESTful services, APIs, and SSO. Responsibilities include test documentation, bug tracking, and contributing to process improvements using tools like Selenium and JIRA. The position requires over 7 years of experience in software testing and emphasizes collaboration, independence, and timely project delivery.","Manual Testing, Regression Testing, Functional Testing, Selenium, RESTful Services Testing, API Testing, Single Sign-On Testing, JIRA"
Shopify Website Developer,"This role focuses on developing and maintaining Shopify e-commerce stores with a strong emphasis on backend customization and user experience enhancement. Key responsibilities include implementing SEO strategies, managing Google Ads and Meta Ads campaigns, and optimizing sales conversion rates using analytics and testing. The position requires expertise in Shopify development, Liquid coding, SEO tools, and marketing platforms, along with a proven ability to enhance store performance and customer interaction.","Shopify Development, Shopify Theme Customization, Liquid Coding, Third-Party Integrations, SEO, Google Ads, Meta Ads, Google Analytics, Google Search Console, HTML, CSS, JavaScript, Conversion Rate Optimization, User Experience Improvement, Shopify Plus, Photoshop, Canva"
Lead Shopify Developer,"This lead role focuses on the creation, development, and maintenance of Shopify Apps using low-code platforms like Retool and Bubble. The responsibilities include writing maintainable code, troubleshooting issues, and optimizing app performance while ensuring security. The position requires in-depth knowledge of Shopify's APIs, app submission processes, and technologies like JavaScript, Python, and Node.js, with a focus on version control and security best practices.","Shopify App Development, Retool, Bubble, Shopify APIs, HTML, CSS, JavaScript, Python, Node.js, Ruby, Ruby on Rails, Shopify Liquid, GraphQL, SQL, NoSQL, Rest API, React, OAuth, Webhooks, Git"
Lead Game Developer,"In this leadership role, you will guide the Unity engineering team in building the Magic Academy game, focusing on developing its technical architecture and integrating AI to enhance the educational experience. The role requires strong technical leadership to establish best practices, optimize the codebase, and collaborate closely with product managers and designers. With a focus on engineering excellence, the position offers autonomy in decision-making and the opportunity to shape the direction of an innovative game that transforms learning.","Unity, Game Development, 3D Game Development, Technical Architecture, AI Integration, Product Management, Coding Standards, Development Patterns, AI Tools, Leadership, Game Optimization"
Frontend Developer,"This Frontend Developer role involves building and maintaining responsive web applications, utilizing CSS, Tailwind, and React to create visually appealing and user-friendly features. The position also requires a basic understanding of Next JS, Shopify, and integration with backend services using Node JS, MongoDB, and MySQL. The candidate will be expected to continuously improve their skills while contributing to the development of interactive components and ensuring a smooth user experience.","CSS, Tailwind CSS, JavaScript, DOM Manipulation, React JS, Next JS, Shopify, Ant Design, Node JS, MongoDB, MySQL"
Junior Web Developer,"The Web Developer will focus on developing and customizing WordPress and Shopify websites, ensuring they are responsive, fast, and optimized for SEO. The role includes troubleshooting and resolving performance issues while collaborating with teams to deliver tailored solutions. Experience with Liquid code and app integrations will be an additional advantage in improving website functionality and performance.","WordPress, Shopify, HTML, CSS, JavaScript, PHP, Liquid"
Mid level Frontend Developer,"The Mid-Level Frontend Developer will be responsible for developing and maintaining user-facing features using HTML, CSS, and JavaScript. They will collaborate with UI/UX designers to create responsive and visually appealing web designs, ensuring technical feasibility and optimizing for performance and scalability. The role also involves integrating frontend components with backend services built with Laravel and staying updated on emerging trends in frontend development. Strong communication and teamwork skills are essential to this role.","HTML, CSS, JavaScript, Git, Laravel"
